Title:,"Average Root zone soil moisture monthly 0.125 deg. [NLDAS Model NLDAS_NOAH0125_M v2.0] kg m-2 for 1979-01-02 00:00:00Z - 2024-01-01 00:00:00Z"
User Start Date:,1979-01-01T00:00:00Z
User End Date:,2023-12-31T23:59:59Z
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=InTs&seasons=years&starttime=1979-01-01T00%3A00%3A00Z&endtime=2023-12-31T23%3A59%3A59Z&data=NLDAS_NOAH0125_M_2_0_RootMoist&dataKeyword=Soil+moisture&portal=GIOVANNI&format=json"
Fill Value:,-9999.0
Units:,kg m-2
Variable Name:,NLDAS_NOAH0125_M_2_0_RootMoist

TIME,unknown
1979,371.5354
1980,358.1541
1981,362.36725
1982,370.5348
1983,375.71365
1984,371.24158
1985,372.62347
1986,370.83438
1987,363.2572
1988,351.83002
1989,357.28012
1990,358.2264
1991,361.42752
1992,371.23825
1993,374.2604
1994,364.18805
1995,367.56635
1996,368.3097
1997,372.19055
1998,362.53726
1999,356.639
2000,345.8522
2001,352.87354
2002,348.80182
2003,357.7882
2004,371.18073
2005,371.35306
2006,359.85977
2007,361.96384
2008,365.80307
2009,370.41193
2010,370.2757
2011,361.33026
2012,345.31003
2013,356.5913
2014,364.10547
2015,369.12546
2016,368.50043
2017,367.0743
2018,362.56085
2019,371.5208
2020,363.8375
2021,352.59824
2022,349.36548
2023,349.66052
